text,date,combined_score,signal,entry,TP,SL,entry_source,lot_size,risk_amount,auto_tp_applied,auto_tp_reason
US NFP (Non-Farm Payrolls) - Strong Expected [DE40],2025-11-03 22:30:00,0.9,BUY,19500.0,21000.0,18750.0,DE40,6.0,50000.0,False,
US NFP (Non-Farm Payrolls) - Strong Expected [SP500],2025-11-03 22:30:00,0.9,BUY,5900.0,7400.0,5150.0,SP500,6.0,50000.0,False,
US NFP (Non-Farm Payrolls) - Strong Expected [MSFT],2025-11-03 22:30:00,0.9,BUY,420.0,441.0,410.0,MSFT,6.0,6000.0,False,
US NFP (Non-Farm Payrolls) - Strong Expected [AAPL],2025-11-03 22:30:00,0.9,BUY,225.0,236.0,219.0,AAPL,6.0,3600.0,False,
US NFP (Non-Farm Payrolls) - Strong Expected [GOLD_SPOT],2025-11-03 22:30:00,0.9,BUY,4016.9,5516.9,3266.9,GOLD_SPOT,6.0,50000.0,False,
US NFP (Non-Farm Payrolls) - Strong Expected [NASDAQ_MINI],2025-11-03 22:30:00,0.9,BUY,26166.75,27666.75,25416.75,NASDAQ_MINI,6.0,50000.0,False,
Fed Interest Rate Decision - Hawkish Stance [DE40],2025-11-07 03:00:00,0.85,BUY,19550.0,21050.0,18800.0,DE40,6.0,50000.0,False,
Fed Interest Rate Decision - Hawkish Stance [SP500],2025-11-07 03:00:00,0.85,BUY,5920.0,7420.0,5170.0,SP500,6.0,50000.0,False,
Fed Interest Rate Decision - Hawkish Stance [MSFT],2025-11-07 03:00:00,0.85,BUY,421.0,442.0,410.0,MSFT,6.0,6600.0,False,
Fed Interest Rate Decision - Hawkish Stance [AAPL],2025-11-07 03:00:00,0.85,BUY,226.0,237.0,220.0,AAPL,6.0,3600.0,False,
Fed Interest Rate Decision - Hawkish Stance [GOLD_SPOT],2025-11-07 03:00:00,0.85,BUY,4016.9,5516.9,3266.9,GOLD_SPOT,6.0,50000.0,False,
Fed Interest Rate Decision - Hawkish Stance [NASDAQ_MINI],2025-11-07 03:00:00,0.85,BUY,26166.75,27666.75,25416.75,NASDAQ_MINI,6.0,50000.0,False,
Japan GDP Report - Better than Expected [DE40],2025-11-14 08:50:00,0.82,BUY,19520.0,20220.0,19170.0,DE40,4.0,50000.0,False,
Japan GDP Report - Better than Expected [SP500],2025-11-14 08:50:00,0.82,BUY,5910.0,6610.0,5560.0,SP500,4.0,50000.0,False,
Japan GDP Report - Better than Expected [MSFT],2025-11-14 08:50:00,0.82,BUY,420.0,433.0,414.0,MSFT,4.0,2600.0,False,
Japan GDP Report - Better than Expected [AAPL],2025-11-14 08:50:00,0.82,BUY,226.0,232.0,222.0,AAPL,4.0,1400.0,False,
Japan GDP Report - Better than Expected [GOLD_SPOT],2025-11-14 08:50:00,0.82,BUY,4016.9,4716.9,3666.9,GOLD_SPOT,4.0,50000.0,False,
Japan GDP Report - Better than Expected [NASDAQ_MINI],2025-11-14 08:50:00,0.82,BUY,26166.75,26866.75,25816.75,NASDAQ_MINI,4.0,28000.0,False,
