timestamp,symbol,decision,entry_price,tp,sl,exit_reason,exit_price,profit,take_profit,stop_loss,side,qty,news_refs,news_count,sentiment_score,recommendation,gpt_judgment,cum
2025-11-06T13:15:00Z,JP225,STRONG_GO,51200.0,52400.0,50500.0,SL,50500.0,-0.013671875,,,,,,,,,,0.986328125
2025-11-06T02:43:16.460017,JP225,STRONG_GO,51200.0,52400.0,50500.0,SL,50500.0,-0.013671875,,,,,,,,,,0.9728431701660156
2025-11-06T02:43:16.460564,NQ100,STRONG_GO,16000.0,17200.0,15300.0,TP,17200.0,0.075,,,,,,,,,,1.0458064079284668
2025-11-06T02:43:16.460616,XAUUSD,STRONG_GO,2000.0,3200.0,1300.0,TP,3200.0,0.6,,,,,,,,,,1.6732902526855469
2025-11-06T02:43:16.460727,GER40,STRONG_GO,16500.0,17700.0,15800.0,TP,17700.0,0.07272727272727272,,,,,,,,,,1.7949840892444957
2025-11-06T03:04:17.940102,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.7770342483520507
2025-11-06T03:04:17.940799,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.7592639058685302
2025-11-06T03:04:17.940866,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.7416712668098449
2025-11-06T03:09:26.499971,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.7242545541417464
2025-11-06T03:09:30.018525,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.7070120086003289
2025-11-06T03:09:32.782178,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.6899418885143256
2025-11-06T03:09:35.077633,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.6730424696291823
2025-11-06T03:14:04.050748,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.6563120449328905
2025-11-06T03:17:56.743419,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.6397489244835617
2025-11-06T05:36:20.352949,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.6233514352387262
2025-11-06T05:40:57.493154,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.6071179208863389
2025-11-06T05:53:47.043661,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.5910467416774754
2025-11-06T05:54:06.856521,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.5751362742607007
2025-11-06T05:54:07.628520,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.5593849115180938
2025-11-06T06:00:36.994711,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.5437910624029128
2025-11-06T06:01:51.221314,JP225,STRONG_GO,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,1.5283531517788835
2025-11-06T06:01:51.221980,NQ100,STRONG_GO,17900.0,18258.0,17721.0,TP,18258.0,0.02,,,,,,,,,,1.5589202148144612
2025-11-06T06:01:51.222033,XAUUSD,STRONG_GO,2375.5,2411.13,2356.5,TP,2411.13,0.014998947589981102,,,,,,,,,,1.5823023774134253
2025-11-06T06:01:51.222074,XAGUSD,STRONG_GO,28.42,29.13,28.08,TP,29.13,0.024982406755805674,,,,,,,,,,1.621832099016646
