time,close
2024-11-01 00:01,31726
2024-11-01 00:02,31262
2024-11-01 00:03,33662
2024-11-01 00:04,30340
2024-11-01 00:05,32659
2024-11-01 00:06,30172
2024-11-01 00:07,33455
2024-11-01 00:08,33854
2024-11-01 00:09,30339
2024-11-01 00:10,31143
2024-11-01 00:11,31970
2024-11-01 00:12,33174
2024-11-01 00:13,33291
2024-11-01 00:14,33682
2024-11-01 00:15,34132
2024-11-01 00:16,30631
2024-11-01 00:17,30645
2024-11-01 00:18,33520
2024-11-01 00:19,32453
2024-11-01 00:20,32558
2024-11-01 00:21,31148
2024-11-01 00:22,33220
2024-11-01 00:23,34558
2024-11-01 00:24,34357
2024-11-01 00:25,30142
2024-11-01 00:26,30110
2024-11-01 00:27,32438
2024-11-01 00:28,31824
2024-11-01 00:29,30748
2024-11-01 00:30,31619
2024-11-01 00:31,31796
2024-11-01 00:32,32032
2024-11-01 00:33,33664
2024-11-01 00:34,30292
2024-11-01 00:35,33294
2024-11-01 00:36,30369
2024-11-01 00:37,30319
2024-11-01 00:38,33640
2024-11-01 00:39,32507
2024-11-01 00:40,30975
2024-11-01 00:41,33221
2024-11-01 00:42,32931
2024-11-01 00:43,31997
2024-11-01 00:44,32098
2024-11-01 00:45,31271
2024-11-01 00:46,31056
2024-11-01 00:47,31167
2024-11-01 00:48,34453
2024-11-01 00:49,34689
2024-11-01 00:50,30505
