time,close
2024-11-01 00:01,31037
2024-11-01 00:02,31957
2024-11-01 00:03,32573
2024-11-01 00:04,32765
2024-11-01 00:05,33896
2024-11-01 00:06,30068
2024-11-01 00:07,30596
2024-11-01 00:08,33548
2024-11-01 00:09,34526
2024-11-01 00:10,34273
2024-11-01 00:11,30802
2024-11-01 00:12,34236
2024-11-01 00:13,33726
2024-11-01 00:14,30108
2024-11-01 00:15,31330
2024-11-01 00:16,32591
2024-11-01 00:17,31312
2024-11-01 00:18,30527
2024-11-01 00:19,30037
2024-11-01 00:20,34481
2024-11-01 00:21,32846
2024-11-01 00:22,34406
2024-11-01 00:23,31147
2024-11-01 00:24,34185
2024-11-01 00:25,30951
2024-11-01 00:26,32189
2024-11-01 00:27,30097
2024-11-01 00:28,33029
2024-11-01 00:29,31493
2024-11-01 00:30,32468
2024-11-01 00:31,34884
2024-11-01 00:32,31528
2024-11-01 00:33,30870
2024-11-01 00:34,33451
2024-11-01 00:35,31274
2024-11-01 00:36,32243
2024-11-01 00:37,31625
2024-11-01 00:38,31762
2024-11-01 00:39,33516
2024-11-01 00:40,31995
2024-11-01 00:41,33750
2024-11-01 00:42,31318
2024-11-01 00:43,31417
2024-11-01 00:44,32065
2024-11-01 00:45,32002
2024-11-01 00:46,33310
2024-11-01 00:47,32516
2024-11-01 00:48,32851
2024-11-01 00:49,31521
2024-11-01 00:50,31083
