time,close
2024-11-01 00:01,31287
2024-11-01 00:02,33802
2024-11-01 00:03,32646
2024-11-01 00:04,34269
2024-11-01 00:05,32648
2024-11-01 00:06,31405
2024-11-01 00:07,30510
2024-11-01 00:08,32627
2024-11-01 00:09,33526
2024-11-01 00:10,30290
2024-11-01 00:11,32013
2024-11-01 00:12,30676
2024-11-01 00:13,32128
2024-11-01 00:14,33288
2024-11-01 00:15,34999
2024-11-01 00:16,30391
2024-11-01 00:17,30922
2024-11-01 00:18,31453
2024-11-01 00:19,30815
2024-11-01 00:20,33345
2024-11-01 00:21,34175
2024-11-01 00:22,34427
2024-11-01 00:23,32286
2024-11-01 00:24,33709
2024-11-01 00:25,32555
2024-11-01 00:26,31040
2024-11-01 00:27,31224
2024-11-01 00:28,32894
2024-11-01 00:29,30939
2024-11-01 00:30,30986
2024-11-01 00:31,34285
2024-11-01 00:32,31220
2024-11-01 00:33,33455
2024-11-01 00:34,31689
2024-11-01 00:35,34476
2024-11-01 00:36,31021
2024-11-01 00:37,31737
2024-11-01 00:38,34972
2024-11-01 00:39,32782
2024-11-01 00:40,31829
2024-11-01 00:41,33874
2024-11-01 00:42,32057
2024-11-01 00:43,31935
2024-11-01 00:44,33697
2024-11-01 00:45,31576
2024-11-01 00:46,31170
2024-11-01 00:47,30307
2024-11-01 00:48,31135
2024-11-01 00:49,30384
2024-11-01 00:50,32947
