time,close
2024-11-01 00:01,30689
2024-11-01 00:02,32025
2024-11-01 00:03,31857
2024-11-01 00:04,32370
2024-11-01 00:05,32530
2024-11-01 00:06,30784
2024-11-01 00:07,31102
2024-11-01 00:08,30527
2024-11-01 00:09,33112
2024-11-01 00:10,31221
2024-11-01 00:11,33629
2024-11-01 00:12,33198
2024-11-01 00:13,31259
2024-11-01 00:14,33768
2024-11-01 00:15,30928
2024-11-01 00:16,32024
2024-11-01 00:17,31756
2024-11-01 00:18,30981
2024-11-01 00:19,32679
2024-11-01 00:20,32062
2024-11-01 00:21,30655
2024-11-01 00:22,31352
2024-11-01 00:23,31869
2024-11-01 00:24,34591
2024-11-01 00:25,32469
2024-11-01 00:26,30531
2024-11-01 00:27,30384
2024-11-01 00:28,34288
2024-11-01 00:29,30125
2024-11-01 00:30,31095
2024-11-01 00:31,33746
2024-11-01 00:32,31082
2024-11-01 00:33,32808
2024-11-01 00:34,31910
2024-11-01 00:35,32429
2024-11-01 00:36,34085
2024-11-01 00:37,32772
2024-11-01 00:38,34176
2024-11-01 00:39,31877
2024-11-01 00:40,33121
2024-11-01 00:41,34085
2024-11-01 00:42,33709
2024-11-01 00:43,33805
2024-11-01 00:44,33871
2024-11-01 00:45,34019
2024-11-01 00:46,34361
2024-11-01 00:47,32564
2024-11-01 00:48,31988
2024-11-01 00:49,34048
2024-11-01 00:50,33745
